  W2      Ee`     X         QE_N       IN_N      TOT_N       QE_D       IN_D      TOT_D      DGW2D       REL       Q2
  0.6034  6.1528  1.3300   0.139E+01  0.000E+00  0.139E+01  0.758E-01  0.000E+00  0.758E-01  0.369E-01  0.261E+01  1.1162
  0.5970  6.1559  1.3400   0.127E+01  0.000E+00  0.127E+01  0.700E-01  0.000E+00  0.700E-01  0.340E-01  0.259E+01  1.1167
  0.5907  6.1590  1.3500   0.115E+01  0.000E+00  0.115E+01  0.647E-01  0.000E+00  0.647E-01  0.314E-01  0.255E+01  1.1173
  0.5845  6.1620  1.3600   0.104E+01  0.000E+00  0.104E+01  0.600E-01  0.000E+00  0.600E-01  0.292E-01  0.247E+01  1.1178
  0.5783  6.1650  1.3700   0.912E+00  0.000E+00  0.912E+00  0.557E-01  0.000E+00  0.557E-01  0.270E-01  0.234E+01  1.1184
  0.5723  6.1679  1.3800   0.793E+00  0.000E+00  0.793E+00  0.511E-01  0.000E+00  0.511E-01  0.248E-01  0.222E+01  1.1189
  0.5663  6.1708  1.3900   0.675E+00  0.000E+00  0.675E+00  0.477E-01  0.000E+00  0.477E-01  0.232E-01  0.202E+01  1.1195
  0.5604  6.1737  1.4000   0.588E+00  0.000E+00  0.588E+00  0.446E-01  0.000E+00  0.446E-01  0.217E-01  0.188E+01  1.1200
  0.5546  6.1765  1.4100   0.586E+00  0.000E+00  0.586E+00  0.414E-01  0.000E+00  0.414E-01  0.201E-01  0.202E+01  1.1205
  0.5488  6.1793  1.4200   0.587E+00  0.000E+00  0.587E+00  0.387E-01  0.000E+00  0.387E-01  0.188E-01  0.217E+01  1.1210
  0.5431  6.1821  1.4300   0.591E+00  0.000E+00  0.591E+00  0.361E-01  0.000E+00  0.361E-01  0.176E-01  0.234E+01  1.1215
  0.5375  6.1848  1.4400   0.591E+00  0.000E+00  0.591E+00  0.338E-01  0.000E+00  0.338E-01  0.164E-01  0.250E+01  1.1220
  0.5320  6.1875  1.4500   0.594E+00  0.000E+00  0.594E+00  0.316E-01  0.000E+00  0.316E-01  0.153E-01  0.268E+01  1.1225
  0.5266  6.1901  1.4600   0.591E+00  0.000E+00  0.591E+00  0.296E-01  0.000E+00  0.296E-01  0.144E-01  0.286E+01  1.1230
  0.5212  6.1927  1.4700   0.594E+00  0.000E+00  0.594E+00  0.278E-01  0.000E+00  0.278E-01  0.135E-01  0.305E+01  1.1234
  0.5159  6.1953  1.4800   0.595E+00  0.000E+00  0.595E+00  0.261E-01  0.000E+00  0.261E-01  0.127E-01  0.326E+01  1.1239
  0.5106  6.1979  1.4900   0.595E+00  0.000E+00  0.595E+00  0.245E-01  0.000E+00  0.245E-01  0.119E-01  0.347E+01  1.1244
  0.5054  6.2004  1.5000   0.595E+00  0.000E+00  0.595E+00  0.230E-01  0.000E+00  0.230E-01  0.112E-01  0.370E+01  1.1248
  0.5003  6.2029  1.5100   0.587E+00  0.000E+00  0.587E+00  0.218E-01  0.000E+00  0.218E-01  0.106E-01  0.385E+01  1.1253
  0.4953  6.2053  1.5200   0.552E+00  0.000E+00  0.552E+00  0.205E-01  0.000E+00  0.205E-01  0.995E-02  0.385E+01  1.1257
  0.4903  6.2078  1.5300   0.519E+00  0.000E+00  0.519E+00  0.193E-01  0.000E+00  0.193E-01  0.937E-02  0.385E+01  1.1262
  0.4853  6.2102  1.5400   0.490E+00  0.000E+00  0.490E+00  0.182E-01  0.000E+00  0.182E-01  0.884E-02  0.385E+01  1.1266
  0.4805  6.2125  1.5500   0.467E+00  0.000E+00  0.467E+00  0.172E-01  0.000E+00  0.172E-01  0.834E-02  0.388E+01  1.1270
  0.4756  6.2149  1.5600   0.436E+00  0.000E+00  0.436E+00  0.163E-01  0.000E+00  0.163E-01  0.793E-02  0.381E+01  1.1274
  0.4709  6.2172  1.5700   0.414E+00  0.000E+00  0.414E+00  0.154E-01  0.000E+00  0.154E-01  0.750E-02  0.383E+01  1.1279
  0.4662  6.2195  1.5800   0.392E+00  0.000E+00  0.392E+00  0.146E-01  0.000E+00  0.146E-01  0.711E-02  0.383E+01  1.1283
  0.4615  6.2217  1.5900   0.370E+00  0.000E+00  0.370E+00  0.139E-01  0.000E+00  0.139E-01  0.676E-02  0.381E+01  1.1287
  0.4570  6.2239  1.6000   0.352E+00  0.000E+00  0.352E+00  0.131E-01  0.000E+00  0.131E-01  0.639E-02  0.383E+01  1.1291
  0.4524  6.2262  1.6100   0.333E+00  0.000E+00  0.333E+00  0.124E-01  0.000E+00  0.124E-01  0.602E-02  0.384E+01  1.1295
  0.4479  6.2283  1.6200   0.316E+00  0.000E+00  0.316E+00  0.118E-01  0.000E+00  0.118E-01  0.574E-02  0.382E+01  1.1299
  0.4435  6.2305  1.6300   0.301E+00  0.000E+00  0.301E+00  0.112E-01  0.000E+00  0.112E-01  0.547E-02  0.382E+01  1.1303
  0.4391  6.2326  1.6400   0.287E+00  0.000E+00  0.287E+00  0.107E-01  0.000E+00  0.107E-01  0.519E-02  0.383E+01  1.1307
  0.4348  6.2347  1.6500   0.273E+00  0.000E+00  0.273E+00  0.101E-01  0.000E+00  0.101E-01  0.493E-02  0.385E+01  1.1310
  0.4305  6.2368  1.6600   0.259E+00  0.000E+00  0.259E+00  0.969E-02  0.000E+00  0.969E-02  0.471E-02  0.383E+01  1.1314
  0.4263  6.2388  1.6700   0.246E+00  0.000E+00  0.246E+00  0.917E-02  0.000E+00  0.917E-02  0.445E-02  0.383E+01  1.1318
  0.4221  6.2409  1.6800   0.234E+00  0.000E+00  0.234E+00  0.877E-02  0.000E+00  0.877E-02  0.426E-02  0.380E+01  1.1322
  0.4180  6.2429  1.6900   0.223E+00  0.000E+00  0.223E+00  0.835E-02  0.000E+00  0.835E-02  0.406E-02  0.382E+01  1.1325
  0.4139  6.2449  1.7000   0.212E+00  0.000E+00  0.212E+00  0.795E-02  0.000E+00  0.795E-02  0.386E-02  0.381E+01  1.1329
  0.4098  6.2468  1.7100   0.203E+00  0.000E+00  0.203E+00  0.760E-02  0.000E+00  0.760E-02  0.369E-02  0.382E+01  1.1332
  0.4058  6.2488  1.7200   0.193E+00  0.000E+00  0.193E+00  0.725E-02  0.000E+00  0.725E-02  0.352E-02  0.379E+01  1.1336
  0.4019  6.2507  1.7300   0.185E+00  0.000E+00  0.185E+00  0.687E-02  0.000E+00  0.687E-02  0.334E-02  0.384E+01  1.1339
  0.3980  6.2526  1.7400   0.176E+00  0.000E+00  0.176E+00  0.658E-02  0.000E+00  0.658E-02  0.320E-02  0.382E+01  1.1343
  0.3941  6.2545  1.7500   0.167E+00  0.000E+00  0.167E+00  0.627E-02  0.000E+00  0.627E-02  0.305E-02  0.380E+01  1.1346
  0.3903  6.2564  1.7600   0.159E+00  0.000E+00  0.159E+00  0.597E-02  0.000E+00  0.597E-02  0.290E-02  0.381E+01  1.1350
  0.3865  6.2582  1.7700   0.151E+00  0.000E+00  0.151E+00  0.570E-02  0.000E+00  0.570E-02  0.277E-02  0.380E+01  1.1353
  0.3827  6.2600  1.7800   0.145E+00  0.000E+00  0.145E+00  0.541E-02  0.000E+00  0.541E-02  0.263E-02  0.382E+01  1.1356
  0.3790  6.2618  1.7900   0.138E+00  0.000E+00  0.138E+00  0.514E-02  0.000E+00  0.514E-02  0.250E-02  0.384E+01  1.1360
