Kine	Model	x	Azz	Creator
H1	Bonn-PWBA-NR	0.5997147865	-0.6075178621	Arenhovel
H1	Bonn-PWBA-NR	0.6999962056	-0.7146162552	Arenhovel
H1	Bonn-PWBA-NR	0.7999316648	-0.37560098	Arenhovel
H1	Bonn-PWBA-NR	0.899931421	-0.0177172675	Arenhovel
H1	Bonn-PWBA-NR	0.9996420716	0.0706880507	Arenhovel
H1	Bonn-PWBA-NR	1.0999702644	-0.1116945872	Arenhovel
H1	Bonn-PWBA-NR	1.1999984627	-0.6225368102	Arenhovel
H1	Bonn-PWBA-NR	1.3006173414	-1.0630926191	Arenhovel
H1	Bonn-PWBA-NR	1.4000831526	-0.9479756351	Arenhovel
H1	Bonn-PWBA-NR	1.500648218	-0.3196405494	Arenhovel
H1	Bonn-PWBA-NR	1.6004188603	0.3229922355	Arenhovel
H1	Bonn-PWBA-NR	1.7008086785	0.7284755481	Arenhovel
H1	Bonn-PWBA-NR	1.801004768	0.9034986186	Arenhovel
H1	Bonn-PWBA-RC	0.4996744705	-0.6007437792	Arenhovel
H1	Bonn-PWBA-RC	0.5997147865	-0.6535505136	Arenhovel
H1	Bonn-PWBA-RC	0.6999962056	-0.3909169129	Arenhovel
H1	Bonn-PWBA-RC	0.7999316648	-0.0680491282	Arenhovel
H1	Bonn-PWBA-RC	0.899931421	0.0759376114	Arenhovel
H1	Bonn-PWBA-RC	0.9996420716	0.079815385	Arenhovel
H1	Bonn-PWBA-RC	1.0999702644	0.0705367299	Arenhovel
H1	Bonn-PWBA-RC	1.1999984627	-0.1223110884	Arenhovel
H1	Bonn-PWBA-RC	1.3006173414	-0.5061046076	Arenhovel
H1	Bonn-PWBA-RC	1.4000831526	-0.8806873538	Arenhovel
H1	Bonn-PWBA-RC	1.500648218	-0.9640552433	Arenhovel
H1	Bonn-PWBA-RC	1.6004188603	-0.608239111	Arenhovel
H1	Bonn-PWBA-RC	1.7008086785	-0.0243004316	Arenhovel
H1	Bonn-PWBA-RC	1.801004768	0.4921887461	Arenhovel
H1	LC-AV18	0.5010238908	0.0095105897	Misak
H1	LC-AV18	0.5428900114	0.0109373494	Misak
H1	LC-AV18	0.5874861433	0.0109373494	Misak
H1	LC-AV18	0.6038683959	0.0095105897	Misak
H1	LC-AV18	0.6994315358	-0.0104640457	Misak
H1	LC-AV18	0.7822529238	-0.0204513633	Misak
H1	LC-AV18	0.8077364278	-0.026158402	Misak
H1	LC-AV18	0.8304895563	-0.0332922004	Misak
H1	LC-AV18	0.8641641866	-0.0461330374	Misak
H1	LC-AV18	0.8787261889	-0.0475597971	Misak
H1	LC-AV18	0.8905578157	-0.0461330374	Misak
H1	LC-AV18	0.9005691923	-0.0418527584	Misak
H1	LC-AV18	0.9124008191	-0.0332922004	Misak
H1	LC-AV18	0.9269628214	-0.017597844	Misak
H1	LC-AV18	0.9642779522	0.0294852251	Misak
H1	LC-AV18	0.9770197042	0.0423260621	Misak
H1	LC-AV18	0.9870310808	0.0494598605	Misak
H1	LC-AV18	0.9970424573	0.0537401395	Misak
H1	LC-AV18	1.0043234585	0.0551668992	Misak
H1	LC-AV18	1.0179753356	0.0523133798	Misak
H1	LC-AV18	1.033447463	0.0451795815	Misak
H1	LC-AV18	1.0480094653	0.0351922638	Misak
