Kine	Model	x	Azz	Creator
S1	alphaTed-AV18-Norm-MEC-IC-Rel	1.7999970169	0	Arenhovel
S1	alphaTed-AV18-Norm-MEC-IC-Rel	1.8224001166	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	0.2999757053	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	0.3999814772	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	0.5000375282	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	0.6001243325	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	0.7001344816	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	0.8001234338	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	0.8999077646	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	0.999991249	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	1.0999505714	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	1.1998419496	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	1.3001863167	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	1.3999864363	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	1.5002416629	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	1.5289776332	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	1.6000925482	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	1.700213283	0	Arenhovel
S2	alphaTed-AV18-Norm-MEC-IC-Rel	1.7995076923	0	Arenhovel
S3	alphaTed-AV18-Norm-MEC-IC-Rel	0.2999759786	0	Arenhovel
S3	alphaTed-AV18-Norm-MEC-IC-Rel	0.399958867	0	Arenhovel
S3	alphaTed-AV18-Norm-MEC-IC-Rel	0.5001316578	0	Arenhovel
S3	alphaTed-AV18-Norm-MEC-IC-Rel	0.6005276873	0	Arenhovel
S3	alphaTed-AV18-Norm-MEC-IC-Rel	0.6997029355	0	Arenhovel
S3	alphaTed-AV18-Norm-MEC-IC-Rel	0.7993446575	0	Arenhovel
S3	alphaTed-AV18-Norm-MEC-IC-Rel	0.8988560579	0	Arenhovel
S3	alphaTed-AV18-Norm-MEC-IC-Rel	0.9997200575	0	Arenhovel
