	W2		Ee`		X		QE_N		IN_N		TOT_N		QE_D		IN_D		TOT_D		DGW2D		REL			Q2
	0.3867	5.8890	1.3700	0.540E-01	0.154E-03	0.542E-01	0.278E-02	0.665E-05	0.279E-02	0.128E-02	0.277E+01	1.8280
	0.3766	5.8936	1.3800	0.542E-01	0.124E-03	0.543E-01	0.257E-02	0.538E-05	0.258E-02	0.118E-02	0.301E+01	1.8294
	0.3667	5.8981	1.3900	0.542E-01	0.991E-04	0.543E-01	0.236E-02	0.432E-05	0.237E-02	0.108E-02	0.328E+01	1.8308
	0.3569	5.9026	1.4000	0.543E-01	0.779E-04	0.544E-01	0.220E-02	0.341E-05	0.220E-02	0.101E-02	0.353E+01	1.8322
	0.3472	5.9070	1.4100	0.546E-01	0.602E-04	0.546E-01	0.203E-02	0.590E-06	0.203E-02	0.930E-03	0.383E+01	1.8336
	0.3376	5.9114	1.4200	0.508E-01	0.456E-04	0.508E-01	0.189E-02	0.195E-06	0.189E-02	0.866E-03	0.383E+01	1.8349
	0.3282	5.9157	1.4300	0.472E-01	0.000E+00	0.472E-01	0.176E-02	0.000E+00	0.176E-02	0.807E-03	0.383E+01	1.8363
	0.3189	5.9200	1.4400	0.440E-01	0.000E+00	0.440E-01	0.164E-02	0.000E+00	0.164E-02	0.752E-03	0.383E+01	1.8376
	0.3097	5.9242	1.4500	0.408E-01	0.000E+00	0.408E-01	0.152E-02	0.000E+00	0.152E-02	0.697E-03	0.382E+01	1.8389
	0.3006	5.9283	1.4600	0.381E-01	0.000E+00	0.381E-01	0.142E-02	0.000E+00	0.142E-02	0.651E-03	0.382E+01	1.8402
	0.2916	5.9325	1.4700	0.356E-01	0.000E+00	0.356E-01	0.133E-02	0.000E+00	0.133E-02	0.610E-03	0.381E+01	1.8415
	0.2827	5.9365	1.4800	0.334E-01	0.000E+00	0.334E-01	0.125E-02	0.000E+00	0.125E-02	0.571E-03	0.382E+01	1.8427
	0.2740	5.9405	1.4900	0.314E-01	0.000E+00	0.314E-01	0.117E-02	0.000E+00	0.117E-02	0.536E-03	0.383E+01	1.8440
	0.2653	5.9445	1.5000	0.293E-01	0.000E+00	0.293E-01	0.110E-02	0.000E+00	0.110E-02	0.503E-03	0.381E+01	1.8452
	0.2567	5.9484	1.5100	0.276E-01	0.000E+00	0.276E-01	0.104E-02	0.000E+00	0.104E-02	0.474E-03	0.381E+01	1.8464
	0.2483	5.9523	1.5200	0.261E-01	0.000E+00	0.261E-01	0.976E-03	0.000E+00	0.976E-03	0.446E-03	0.382E+01	1.8476
	0.2399	5.9561	1.5300	0.247E-01	0.000E+00	0.247E-01	0.921E-03	0.000E+00	0.921E-03	0.421E-03	0.384E+01	1.8488
	0.2317	5.9599	1.5400	0.234E-01	0.000E+00	0.234E-01	0.870E-03	0.000E+00	0.870E-03	0.398E-03	0.383E+01	1.8500
	0.2235	5.9636	1.5500	0.222E-01	0.000E+00	0.222E-01	0.824E-03	0.000E+00	0.824E-03	0.377E-03	0.384E+01	1.8511
	0.2155	5.9673	1.5600	0.209E-01	0.000E+00	0.209E-01	0.781E-03	0.000E+00	0.781E-03	0.357E-03	0.383E+01	1.8523
	0.2075	5.9709	1.5700	0.198E-01	0.000E+00	0.198E-01	0.741E-03	0.000E+00	0.741E-03	0.339E-03	0.381E+01	1.8534
	0.1996	5.9745	1.5800	0.187E-01	0.000E+00	0.187E-01	0.703E-03	0.000E+00	0.703E-03	0.322E-03	0.380E+01	1.8545
	0.1918	5.9781	1.5900	0.178E-01	0.000E+00	0.178E-01	0.670E-03	0.000E+00	0.670E-03	0.307E-03	0.380E+01	1.8556
	0.1841	5.9816	1.6000	0.170E-01	0.000E+00	0.170E-01	0.642E-03	0.000E+00	0.642E-03	0.294E-03	0.378E+01	1.8567
	0.1765	5.9851	1.6100	0.162E-01	0.000E+00	0.162E-01	0.605E-03	0.000E+00	0.605E-03	0.276E-03	0.382E+01	1.8578
	0.1689	5.9885	1.6200	0.154E-01	0.000E+00	0.154E-01	0.575E-03	0.000E+00	0.575E-03	0.263E-03	0.383E+01	1.8589
