          iterations=   6     deuteron energy=-.222462069E+01 MeV


                  D-state probability=0.442679905E-01




   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.343267822E+02  0.544283190E-34  0.173238206E-34
 0.346775232E+02  0.561323791E-34  0.175144228E-34
 0.350293604E+02  0.578668367E-34  0.177044017E-34
 0.353822798E+02  0.596318529E-34  0.178937258E-34
 0.357362677E+02  0.614275850E-34  0.180823638E-34
 0.360913101E+02  0.632541864E-34  0.182702845E-34
 0.364473930E+02  0.651118061E-34  0.184574571E-34
 0.368045023E+02  0.670005892E-34  0.186438509E-34
 0.371626240E+02  0.689206766E-34  0.188294356E-34
 0.375217440E+02  0.708722050E-34  0.190141811E-34
 0.378818482E+02  0.728553069E-34  0.191980576E-34
 0.382429222E+02  0.748701106E-34  0.193810355E-34
 0.386049520E+02  0.769167400E-34  0.195630854E-34
 0.389679232E+02  0.789953149E-34  0.197441785E-34
 0.393318216E+02  0.811059505E-34  0.199242858E-34
 0.396966328E+02  0.832487579E-34  0.201033791E-34
 0.400623425E+02  0.854238436E-34  0.202814301E-34
 0.404289361E+02  0.876313098E-34  0.204584110E-34
 0.407963994E+02  0.898712542E-34  0.206342942E-34
 0.411647177E+02  0.921437701E-34  0.208090523E-34
 0.415338767E+02  0.944489461E-34  0.209826585E-34
 0.419038617E+02  0.967868664E-34  0.211550861E-34
 0.422746582E+02  0.991576109E-34  0.213263086E-34
 0.426462516E+02  0.101561254E-33  0.214963001E-34
 0.430186272E+02  0.103997868E-33  0.216650348E-34
 0.433917703E+02  0.106467516E-33  0.218324873E-34
 0.437656663E+02  0.108970262E-33  0.219986326E-34
 0.441403004E+02  0.111506160E-33  0.221634458E-34
 0.445156579E+02  0.114075264E-33  0.223269025E-34
 0.448917240E+02  0.116677621E-33  0.224889787E-34
 0.452684838E+02  0.119313272E-33  0.226496505E-34
 0.456459225E+02  0.121982256E-33  0.228088946E-34
 0.460240253E+02  0.124684606E-33  0.229666878E-34
 0.464027772E+02  0.127420350E-33  0.231230074E-34
 0.467821633E+02  0.130189511E-33  0.232778310E-34
 0.471621687E+02  0.132992108E-33  0.234311365E-34
 0.475427784E+02  0.135828155E-33  0.235829024E-34
 0.479239775E+02  0.138697661E-33  0.237331071E-34
 0.483057508E+02  0.141600630E-33  0.238817297E-34
 0.486880833E+02  0.144537062E-33  0.240287497E-34
 0.490709600E+02  0.147506951E-33  0.241741466E-34
 0.494543659E+02  0.150510286E-33  0.243179007E-34
 0.498382857E+02  0.153547053E-33  0.244599924E-34
 0.502227044E+02  0.156617231E-33  0.246004024E-34
 0.506076068E+02  0.159720796E-33  0.247391121E-34
 0.509929777E+02  0.162857717E-33  0.248761029E-34
 0.513788020E+02  0.166027959E-33  0.250113569E-34
 0.517650645E+02  0.169231483E-33  0.251448563E-34
 0.521517500E+02  0.172468245E-33  0.252765838E-34
 0.525388431E+02  0.175738194E-33  0.254065225E-34
 0.529263288E+02  0.179041276E-33  0.255346559E-34
 0.533141916E+02  0.182377432E-33  0.256609678E-34
 0.537024163E+02  0.185746597E-33  0.257854423E-34
 0.540909877E+02  0.189148703E-33  0.259080642E-34
 0.544798903E+02  0.192583674E-33  0.260288183E-34
 0.548691090E+02  0.196051432E-33  0.261476901E-34
 0.552586283E+02  0.199551893E-33  0.262646654E-34
 0.556484329E+02  0.203084967E-33  0.263797302E-34
 0.560385075E+02  0.206650561E-33  0.264928712E-34
 0.564288366E+02  0.210248576E-33  0.266040753E-34
 0.568194050E+02  0.213878909E-33  0.267133297E-34
 0.572101971E+02  0.217541450E-33  0.268206223E-34
 0.576011977E+02  0.221236086E-33  0.269259412E-34
 0.579923913E+02  0.224962698E-33  0.270292747E-34
 0.583837625E+02  0.228721164E-33  0.271306120E-34
 0.587752958E+02  0.232511354E-33  0.272299422E-34
 0.591669759E+02  0.236333137E-33  0.273272551E-34
 0.595587873E+02  0.240186373E-33  0.274225408E-34
 0.599507146E+02  0.244070920E-33  0.275157898E-34
 0.603427424E+02  0.247986630E-33  0.276069930E-34
 0.607348551E+02  0.251933352E-33  0.276961416E-34
 0.611270374E+02  0.255910926E-33  0.277832274E-34
 0.615192738E+02  0.259919192E-33  0.278682425E-34
 0.619115488E+02  0.263957982E-33  0.279511794E-34
 0.623038470E+02  0.268027124E-33  0.280320309E-34
