#          iterations=   6     deuteron energy=-.222458389E+01 MeV
#
#
#                  D-state probability=0.575987699E-01
#
#
#
#
#   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.437656663E+02  0.713318435E-10  -.662990081E-08
 0.441403004E+02  0.668504724E-10  -.630371283E-08
 0.445156579E+02  0.626741294E-10  -.599547054E-08
 0.448917240E+02  0.587803525E-10  -.570409404E-08
 0.452684838E+02  0.551487988E-10  -.542857484E-08
 0.456459225E+02  0.517612691E-10  -.516796807E-08
 0.460240253E+02  0.486002585E-10  -.492138732E-08
 0.464027772E+02  0.456486386E-10  -.468800323E-08
 0.467821633E+02  0.428911591E-10  -.446704200E-08
 0.471621687E+02  0.403149972E-10  -.425778020E-08
 0.475427784E+02  0.379077967E-10  -.405953779E-08
 0.479239775E+02  0.356568375E-10  -.387167529E-08
 0.483057508E+02  0.335508013E-10  -.369359453E-08
 0.486880833E+02  0.315801481E-10  -.352473737E-08
 0.490709600E+02  0.297359302E-10  -.336458019E-08
 0.494543659E+02  0.280097575E-10  -.321262905E-08
 0.498382857E+02  0.263926313E-10  -.306841922E-08
 0.502227044E+02  0.248762869E-10  -.293151650E-08
 0.506076068E+02  0.234547471E-10  -.280151520E-08
 0.509929777E+02  0.221216291E-10  -.267803247E-08
 0.513788020E+02  0.208704247E-10  -.256070633E-08
 0.517650645E+02  0.196956592E-10  -.244919756E-08
 0.521517500E+02  0.185923076E-10  -.234318955E-08
 0.525388431E+02  0.175562469E-10  -.224238439E-08
 0.529263288E+02  0.165833907E-10  -.214649929E-08
 0.533141916E+02  0.156685671E-10  -.205526757E-08
 0.537024163E+02  0.148080613E-10  -.196844059E-08
 0.540909877E+02  0.139991193E-10  -.188578517E-08
 0.544798903E+02  0.132386431E-10  -.180707958E-08
 0.548691090E+02  0.125234279E-10  -.173211374E-08
 0.552586283E+02  0.118502438E-10  -.166069128E-08
 0.556484329E+02  0.112165440E-10  -.159262847E-08
 0.560385075E+02  0.106204014E-10  -.152775066E-08
 0.564288366E+02  0.100594273E-10  -.146589157E-08
 0.568194050E+02  0.953077804E-11  -.140689534E-08
 0.572101971E+02  0.903248642E-11  -.135061650E-08
